status,collision_index,collision_year,collision_reference,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,generic_make_model,driver_imd_decile,driver_home_area_type,lsoa_of_driver,escooter_flag
Unvalidated,2024010486807,2024,010486807,1,1,9,99,9,9,99,1,9,99,9,99,1,1,6,3,25,5,-1,-1,-1,-1,5,1,E01000142,0
Unvalidated,2024010486807,2024,010486807,2,9,0,99,9,9,99,6,9,99,9,99,1,9,6,2,-1,-1,-1,-1,-1,-1,7,1,E01000241,0
Unvalidated,2024010486821,2024,010486821,1,9,0,99,9,9,99,9,9,99,9,99,9,9,6,1,20,4,-1,-1,-1,-1,4,1,E01023783,0
Unvalidated,2024010486821,2024,010486821,2,9,9,99,9,9,99,9,9,99,9,99,9,9,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486821,2024,010486821,3,9,9,99,9,9,99,9,9,99,9,99,9,9,6,1,50,8,-1,-1,-1,-1,9,1,E01001417,0
Unvalidated,2024010486824,2024,010486824,1,9,0,18,7,3,0,0,1,4,0,0,3,1,6,2,40,7,-1,-1,-1,-1,7,1,E01002366,0
Unvalidated,2024010486824,2024,010486824,2,9,0,2,0,0,0,0,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486825,2024,010486825,1,3,0,3,1,5,0,1,0,0,0,0,1,1,6,1,33,6,-1,-1,-1,-1,2,1,E01001687,0
Unvalidated,2024010486825,2024,010486825,2,9,0,5,1,5,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486828,2024,010486828,1,11,0,9,7,5,0,3,0,0,0,0,1,1,1,1,59,9,-1,-1,-1,-1,3,1,E01003193,0
Unvalidated,2024010486831,2024,010486831,1,9,0,17,5,1,0,6,0,0,0,0,3,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486835,2024,010486835,1,9,0,18,1,5,0,0,0,0,0,0,1,1,1,1,55,8,-1,-1,-1,-1,5,3,E01024366,0
Unvalidated,2024010486838,2024,010486838,1,9,0,18,1,5,0,2,0,4,0,0,1,1,6,2,51,8,-1,-1,-1,-1,3,1,E01002079,0
Unvalidated,2024010486838,2024,010486838,2,19,0,2,0,0,2,2,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486841,2024,010486841,1,9,0,18,3,7,0,1,0,0,0,0,1,1,6,1,39,7,-1,-1,-1,-1,2,1,E01000935,0
Unvalidated,2024010486851,2024,010486851,1,3,0,18,5,1,0,0,0,0,0,0,1,1,6,1,20,4,-1,-1,-1,-1,3,1,E01002102,0
Unvalidated,2024010486851,2024,010486851,2,8,0,2,0,0,2,0,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486863,2024,010486863,1,8,0,9,1,7,0,4,0,0,0,0,1,1,1,1,46,8,-1,-1,-1,-1,5,1,E01002616,0
Unvalidated,2024010486863,2024,010486863,2,9,0,18,5,1,0,4,0,0,0,0,1,1,6,1,86,11,-1,-1,-1,-1,9,1,E01003824,0
Unvalidated,2024010486866,2024,010486866,1,9,0,18,1,5,0,0,0,0,0,0,1,1,6,1,18,4,-1,-1,-1,-1,2,1,E01003176,0
Unvalidated,2024010486866,2024,010486866,2,9,0,18,5,1,0,0,0,0,0,0,1,1,6,1,31,6,-1,-1,-1,-1,3,1,E01003439,0
Unvalidated,2024010486871,2024,010486871,1,3,0,12,3,7,0,2,2,10,0,0,3,1,6,1,47,8,-1,-1,-1,-1,2,1,E01003540,0
Unvalidated,2024010486874,2024,010486874,1,19,0,5,6,2,0,2,0,0,0,0,1,1,6,1,60,9,-1,-1,-1,-1,8,1,E01001568,0
Unvalidated,2024010486880,2024,010486880,1,4,0,18,5,1,0,0,0,0,0,0,4,1,6,1,27,6,-1,-1,-1,-1,4,1,E01002211,0
Unvalidated,2024010486880,2024,010486880,2,9,0,13,1,5,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486886,2024,010486886,1,4,0,99,9,9,99,0,9,99,9,99,9,1,6,3,-1,-1,-1,-1,-1,-1,1,1,E01004247,0
Unvalidated,2024010486886,2024,010486886,2,9,0,99,9,9,99,0,9,99,9,99,9,9,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486897,2024,010486897,1,1,9,99,9,9,99,9,9,99,9,99,9,1,6,1,28,6,-1,-1,-1,-1,5,1,E01001720,0
Unvalidated,2024010486897,2024,010486897,2,9,0,99,9,9,99,9,9,99,9,99,1,9,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486898,2024,010486898,1,9,0,18,7,3,0,0,0,0,7,11,1,1,1,1,27,6,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486898,2024,010486898,2,9,0,6,7,7,0,0,0,0,7,0,3,1,6,1,26,6,-1,-1,-1,-1,2,1,E01003334,0
Unvalidated,2024010486900,2024,010486900,1,3,0,18,5,1,0,8,0,0,0,0,3,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486907,2024,010486907,1,9,0,99,9,9,99,9,9,99,9,99,2,9,6,2,34,6,-1,-1,-1,-1,5,1,E01002245,0
Unvalidated,2024010486907,2024,010486907,2,9,9,99,9,9,99,9,9,99,9,99,9,9,6,1,62,9,-1,-1,-1,-1,3,1,E01003563,0
Unvalidated,2024010486908,2024,010486908,1,9,0,4,1,5,0,3,0,0,0,0,1,1,6,1,40,7,-1,-1,-1,-1,9,1,E01023308,0
Unvalidated,2024010486912,2024,010486912,1,9,0,9,1,7,0,8,0,0,0,0,1,1,1,1,44,7,-1,-1,-1,-1,4,1,E01003559,0
Unvalidated,2024010486913,2024,010486913,1,9,0,18,1,5,0,8,0,0,0,0,1,1,6,2,29,6,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486913,2024,010486913,2,9,0,9,5,3,0,8,0,0,0,0,4,1,6,2,43,7,-1,-1,-1,-1,4,1,E01033729,0
Unvalidated,2024010486915,2024,010486915,1,9,0,5,7,3,0,3,0,0,0,0,4,1,6,1,43,7,-1,-1,-1,-1,5,1,E01000067,0
Unvalidated,2024010486915,2024,010486915,2,9,0,18,1,5,0,4,0,0,0,0,3,1,6,1,30,6,-1,-1,-1,-1,3,1,E01003625,0
Unvalidated,2024010486916,2024,010486916,1,9,0,99,9,9,99,9,9,99,9,99,2,9,6,2,42,7,-1,-1,-1,-1,7,1,E01003763,0
Unvalidated,2024010486916,2024,010486916,2,9,0,99,9,9,99,9,9,99,9,99,9,9,6,2,23,5,-1,-1,-1,-1,5,1,E01003703,0
Unvalidated,2024010486917,2024,010486917,1,3,0,7,5,7,0,2,0,0,0,0,1,1,6,1,32,6,-1,-1,-1,-1,2,1,E01003540,0
Unvalidated,2024010486917,2024,010486917,2,9,0,9,7,5,0,1,0,0,0,0,1,1,6,2,63,9,-1,-1,-1,-1,-1,-1,-1,0
Unvalidated,2024010486920,2024,010486920,1,19,0,13,1,5,0,8,0,0,0,0,4,1,6,1,55,8,-1,-1,-1,-1,1,1,E01000595,0
Unvalidated,2024010486920,2024,010486920,2,1,0,18,1,5,0,8,0,0,0,0,3,1,2,1,59,9,-1,-1,-1,-1,2,1,E01000626,0
Unvalidated,2024010486924,2024,010486924,1,9,0,9,3,1,0,1,0,0,0,0,1,1,6,1,36,7,-1,-1,-1,-1,4,1,E01003740,0
Unvalidated,2024010486931,2024,010486931,1,9,0,18,1,5,0,0,1,4,0,0,1,1,6,2,77,11,-1,-1,-1,-1,7,1,E01001538,0
