Product,Date,Gross Sales,Amount
5,1,43.93,48
1,1,241.16,90 
4,1,43.53,6
3,1,12.53,55
5,1,288.57,73
2,1,353.31,51
2,1,23.96,69
2,1,283.87,63
3,1,312.26,35
2,1,8.25,100
2,1,68.25,78
1,1,32.51,23
5,1,202.01,65
4,1,148.65,63
3,1,232.17,48
5,1,3.28,11
5,1,156.77,4
5,1,11.85,89
2,1,149.8,50
4,1,123.96,72
3,1,71.17,2
4,1,85.1,77
2,1,52.04,37
5,1,340.33,96
3,1,77.44,96
5,1,33.38,46
4,1,10.09,25
4,1,358.78,34
4,1,24.31,32
2,1,85.69,51
1,1,183.62,88
2,1,449.03,53
1,1,47.92,91
5,1,69.85,37
2,1,329.75,32
4,1,15.88,14
5,1,45.61,21
1,1,134.16,92
5,1,356.22,94
5,1,86.1,20
1,1,11.32,50
4,1,90.56,100
5,1,162.7,38
2,1,63.22,88
3,1,83.67,97
1,1,5.19,70
5,1,21.28,80
1,1,255.81,73
4,1,17.96,71
2,1,1.94,61
3,1,57.47,10
4,1,54.15,4
2,1,5.66,79
2,1,346.07,29
3,1,132.59,11
3,1,137.92,59
1,1,10.15,84
1,1,150.2,42
3,1,237.21,29
5,1,17.41,55
5,1,31.71,14
5,1,207.28,1
3,1,3.93,23
1,1,34.57,9
4,1,18.29,98
5,1,55.98,64
3,1,22.81,32
5,1,8.23,40
4,1,110.09,32
3,1,47.74,27
5,1,351.29,15
2,1,7.13,6
4,1,35.36,38
1,1,44.52,17
5,1,62.65,12
4,1,35.11,96
4,1,233.25,15
1,1,8.57,90
1,1,5.2,55
1,1,454.18,35
1,1,389.59,37
2,1,305.16,24
2,1,204.16,94
3,1,145.55,2
3,1,3.51,47
1,1,286.51,1
1,1,121.36,11
2,1,151.55,39
4,1,162.86,13
2,1,37.57,68
4,1,141.81,68
3,1,9.72,89
5,1,19.5,91
1,1,72.07,29
2,1,33.39,94
4,1,136.49,37
2,1,7.58,77
1,1,227.21,22
4,1,234.06,48
5,1,166.87,50
4,1,32.74,78
2,1,9.92,76
5,1,94.18,51
1,1,11.69,85
1,1,64.04,87
3,1,108.81,91
3,1,19.26,76
3,1,206.64,93
5,1,249.39,9
4,1,254.01,64
4,1,374.41,65
3,1,201.96,49
3,1,309.88,5
4,1,89.63,37
3,1,295.35,3
5,1,3.3,91
2,1,51.17,14
3,1,211.35,39
3,1,47.6,14
5,1,24.05,60
4,1,21.85,57
5,1,136.85,81
5,1,285.54,55
5,1,246.19,68
3,1,21.53,53
2,1,322.27,45
5,1,315.25,31
4,1,24.7,54
5,1,121.29,6
